日期,净值增长量
2018/2/23,0.19
2018/2/22,1.61
2018/2/14,0.39
2018/2/13,0.85
2018/2/12,3.02
2018/2/9,-2.68
2018/2/8,1.46
2018/2/7,-0.92
2018/2/6,-3.43
2018/2/5,-1.19
2018/2/2,0.13
2018/2/1,-1.67
2018/1/31,0.06
2018/1/30,0.12
2018/1/29,-2.12
2018/1/26,0
2018/1/25,-1.08
2018/1/24,0.18
2018/1/23,-0.3
2018/1/22,1.64
2018/1/19,-0.66
2018/1/18,-0.3
2018/1/17,-0.48
2018/1/16,1.21
2018/1/15,-1.32
2018/1/12,0.42
2018/1/11,0.12
2018/1/10,-0.89
2018/1/9,1.7
2018/1/8,0.43
2018/1/5,-0.48
2018/1/4,0.67
2018/1/3,0.68
2018/1/2,0.18
2017/12/29,0.81
2017/12/28,0.44
2017/12/27,-1.65
2017/12/26,-0.43
2017/12/25,0.06
2017/12/22,0.18
2017/12/21,1.62
2017/12/20,0.06
2017/12/19,1.2
2017/12/18,-0.44
2017/12/15,-1.54
2017/12/14,0.37
2017/12/13,0.69
2017/12/12,-0.68
2017/12/11,3
2017/12/8,1.16
2017/12/7,-0.06
2017/12/6,0.39
2017/12/5,-1.21
2017/12/4,0.77
2017/12/1,0.71
2017/11/30,-0.52
2017/11/29,-1.09
2017/11/28,1.1
2017/11/27,-1.27
2017/11/24,0.06
2017/11/23,-3.69
2017/11/22,-0.97
2017/11/21,0
2017/11/20,1.54
2017/11/17,-1.88
2017/11/16,1.79
2017/11/15,0.12
2017/11/14,-1.94
2017/11/13,-0.06
2017/11/10,0.67
2017/11/9,0.55
2017/11/8,-1.21
2017/11/7,-0.12
2017/11/6,3.57
2017/11/3,0.25
2017/11/2,0.19
2017/11/1,-0.25
2017/10/31,-0.13
2017/10/30,-0.81
2017/10/27,0.37
2017/10/26,-1.11
2017/10/25,1.44
2017/10/24,0.31
2017/10/23,1.85
2017/10/20,-0.19
2017/10/19,0.71
2017/10/18,1.17
2017/10/17,0.33
2017/10/16,-0.39
2017/10/13,0.07
2017/10/12,0.46
2017/10/11,0.66
2017/10/10,1.4
2017/10/9,1.49
2017/9/29,0.2
2017/9/28,0.82
2017/9/27,0
2017/9/26,-0.34
2017/9/25,1.1
2017/9/22,0
2017/9/21,-0.14
2017/9/20,0.21
2017/9/19,0
2017/9/18,0.76
2017/9/15,0.35
2017/9/14,0.21
